Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
24,Exit long,2020-01-08 16:00,Short,3936.75,1,19457.5,224.25,1.15,295.25,1.52,-38.5,-0.20,352,0.04
24,Entry long,2020-01-07 20:45,Long,3891.5,1,19457.5,224.25,1.15,295.25,1.52,-38.5,-0.20,352,0.04
25,Exit short,2020-01-08 18:15,Long,3946.75,1,19683.75,-52,-0.26,1.5,0.01,-51,-0.26,300,0.03
25,Entry short,2020-01-08 16:00,Short,3936.75,1,19683.75,-52,-0.26,1.5,0.01,-51,-0.26,300,0.03
26,Exit long,2020-01-09 08:00,Short,3951.5,1,19733.75,21.75,0.11,50.25,0.25,-29.75,-0.15,321.75,0.03
26,Entry long,2020-01-08 18:15,Long,3946.75,1,19733.75,21.75,0.11,50.25,0.25,-29.75,-0.15,321.75,0.03
27,Exit short,2020-01-09 10:45,Long,3956.5,1,19757.5,-27,-0.14,12.75,0.06,-32.25,-0.16,294.75,0.03
27,Entry short,2020-01-09 08:00,Short,3951.5,1,19757.5,-27,-0.14,12.75,0.06,-32.25,-0.16,294.75,0.03
28,Exit long,2020-01-09 12:45,Short,3947.75,1,19782.5,-45.75,-0.23,9,0.05,-46,-0.23,249,0.02
28,Entry long,2020-01-09 10:45,Long,3956.5,1,19782.5,-45.75,-0.23,9,0.05,-46,-0.23,249,0.02
29,Exit short,2020-01-09 14:15,Long,3956,1,19738.75,-43.25,-0.22,0,0.00,-44.75,-0.23,205.75,0.02
29,Entry short,2020-01-09 12:45,Short,3947.75,1,19738.75,-43.25,-0.22,0,0.00,-44.75,-0.23,205.75,0.02
30,Exit long,2020-01-10 03:30,Short,3964.25,1,19780,39.25,0.20,62.75,0.32,-13.5,-0.07,245,0.02
30,Entry long,2020-01-09 14:15,Long,3956,1,19780,39.25,0.20,62.75,0.32,-13.5,-0.07,245,0.02
31,Exit short,2020-01-10 05:00,Long,3967.25,1,19821.25,-17,-0.09,6.5,0.03,-16,-0.08,228,0.02
31,Entry short,2020-01-10 03:30,Short,3964.25,1,19821.25,-17,-0.09,6.5,0.03,-16,-0.08,228,0.02
32,Exit long,2020-01-10 08:15,Short,3964,1,19836.25,-18.25,-0.09,14,0.07,-17.25,-0.09,209.75,0.02
32,Entry long,2020-01-10 05:00,Long,3967.25,1,19836.25,-18.25,-0.09,14,0.07,-17.25,-0.09,209.75,0.02
