Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
97,Exit long,2024-04-30 01:45,Short,5606.75,1,28088.75,-57,-0.20,19,0.07,-61,-0.22,361,0.04
97,Entry long,2024-04-29 16:00,Long,5617.75,1,28088.75,-57,-0.20,19,0.07,-61,-0.22,361,0.04
98,Exit short,2024-04-30 02:15,Long,5613.25,1,28033.75,-34.5,-0.12,0,0.00,-37.25,-0.13,326.5,0.03
98,Entry short,2024-04-30 01:45,Short,5606.75,1,28033.75,-34.5,-0.12,0,0.00,-37.25,-0.13,326.5,0.03
99,Exit long,2024-04-30 04:45,Short,5609.5,1,28066.25,-20.75,-0.07,5.25,0.02,-23.5,-0.08,305.75,0.03
99,Entry long,2024-04-30 02:15,Long,5613.25,1,28066.25,-20.75,-0.07,5.25,0.02,-23.5,-0.08,305.75,0.03
100,Exit short,2024-04-30 07:00,Long,5615.25,1,28047.5,-30.75,-0.11,17.75,0.06,-31,-0.11,275,0.03
100,Entry short,2024-04-30 04:45,Short,5609.5,1,28047.5,-30.75,-0.11,17.75,0.06,-31,-0.11,275,0.03
101,Exit long,2024-04-30 08:30,Long Exit,5601,1,28076.25,-73.25,-0.26,1.5,0.01,-72.25,-0.26,201.75,0.02
101,Entry long,2024-04-30 07:00,Long,5615.25,1,28076.25,-73.25,-0.26,1.5,0.01,-72.25,-0.26,201.75,0.02
102,Exit short,2024-04-30 09:45,Long,5610.5,1,27980,-74.5,-0.27,10.25,0.04,-73.5,-0.26,127.25,0.01
102,Entry short,2024-04-30 08:45,Short,5596,1,27980,-74.5,-0.27,10.25,0.04,-73.5,-0.26,127.25,0.01
103,Exit long,2024-04-30 11:00,Long Exit,5583.5,1,28052.5,-137,-0.49,7.75,0.03,-136,-0.48,-9.75,0.00
103,Entry long,2024-04-30 09:45,Long,5610.5,1,28052.5,-137,-0.49,7.75,0.03,-136,-0.48,-9.75,0.00
104,Exit short,2024-05-01 07:15,Long,5518.25,1,27901.25,308,1.10,360.25,1.29,-33.5,-0.12,298.25,0.03
104,Entry short,2024-04-30 11:15,Short,5580.25,1,27901.25,308,1.10,360.25,1.29,-33.5,-0.12,298.25,0.03
105,Exit long,2024-05-01 11:15,Short,5520.25,1,27591.25,8,0.03,70.25,0.25,-41,-0.15,306.25,0.03
