official_id,family,scope_label,format,trades,wins,losses,win_rate,net_pnl_usd,avg_trade_usd,start_dt,end_dt,source_bucket,file_name,abs_path,sha256
BT022,WB7,legacy_pre2020,tv_strategy_export,1539,510,1029,33.14,283.25,0.18,2019-05-06 02:30,2026-04-10 16:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_6d2c9.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_6d2c9.csv,dde9dbef4e67ca1b0ff1ba51b68559e26e700b8b001bd8501bd70fd40e24ecbe
BT023,WB7,post_break_2025plus,tv_strategy_export,3,2,1,66.67,136.5,45.5,2026-04-06 19:00,2026-04-08 15:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_41fee.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_41fee.csv,002fb4b7f53b506cf6b94d0c22a8691674b4f2c60e668d9059a7ddba6d12ec40
BT024,WB7,post_break_2025plus,tv_strategy_export,48,21,27,43.75,136.5,2.84,2026-01-13 16:30,2026-04-08 15:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_82ac3.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_82ac3.csv,2af7712d1900a71e3c8943688b3d09d84ee3af0a3ea0ff2c11c3309478ce7f1f
BT025,WB7,post_break_2025plus,tv_strategy_export,17,9,8,52.94,129.75,7.63,2026-03-16 16:00,2026-04-08 15:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_85355.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_85355.csv,3f095ea930cd09504e5179b857691198e7790aed13aca3b5d48e1eb065de7c0b
BT026,WB7,post_break_2025plus,tv_strategy_export,90,38,52,42.22,76.25,0.85,2025-04-22 07:50,2026-04-13 23:05,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-14_0030d.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-14_0030d.csv,5d2adea57884f40c982d23f0eda5cf16f9322ad41b7938d91ebda48b68dd0d79
BT027,WB7,legacy_pre2020,tv_strategy_export,256,173,83,67.58,65.06,0.25,2019-05-16 06:00,2026-04-06 16:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-06_09059.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-06_09059.csv,b0731da95c5723bd067a7e6b043b4b6d40332c08f60a1ae18b69b7b4e9959c88
BT028,WB7,full_2020plus,tv_strategy_export,590,101,489,17.12,-40.0,-0.07,2020-01-06 07:15,2026-04-10 16:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_f84eb.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_f84eb.csv,10045e82302672ff0855190896e317b6e9948267f19a11b4b8bc7a272d89eebf
BT029,WB7,full_2020plus,tv_strategy_export,389,147,242,37.79,-77.75,-0.2,2020-01-07 08:30,2026-04-15 10:15,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-15_63a94.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-15_63a94.csv,8125968b88cae7fcc65a492d389ace8edd17f3934c423f2fdf1f52c5bf15b06a
BT030,WB7,legacy_pre2020,tv_strategy_export,410,153,257,37.32,-104.5,-0.25,2019-06-04 04:45,2026-04-15 10:15,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-15_ab6bf.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-15_ab6bf.csv,bdcdae587c820c0f20f783a3bc4a27bbe4dbe0b4474df583610303ce54269f87
BT031,WB7,post_break_2025plus,tv_strategy_export,69,28,41,40.58,-901.5,-13.07,2025-05-12 19:15,2026-04-15 10:15,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-15_915bc.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-15_915bc.csv,f51e4f3c101ed06b032d8a292ff4d0bf46d983c8f127fed0383fb104ad2d7b7c
